BatID,ImageID
1,M006
2,M012
3,M025
4,M045
5,M010
6,M062
7,M063
8,M103
9,M105
10,M109
11,M149
12,M160
13,M174
14,M198
15,M201
16,M204
17,M205
18,M209
19,M210
20,M211
21,M212
22,M213
23,M215
24,M226
25,M227
21,M238
26,M240
27,M242
28,M243
6,M245
14,M250
17,M260
29,M271
30,M279
31,M282
21,M286
24,M287
26,M317
14,M319
28,M320
27,M323
32,M325
33,M336
34,M337
11,M350
26,M351
3,M366
16,M372
24,M373
28,M374
35,M375
19,M400
36,M422
37,M436
38,M443
26,M451
39,M452
38,M453
3,M454
40,M462
41,M471
26,M492
42,M493
43,M496
44,M514
35,M522
45,M524
19,M525
42,M526
46,M528
52,F001
53,F003
54,F004
55,F007
56,F008
57,F009
53,F013
58,F014
59,F015
60,F016
61,F017
62,F018
63,F019
64,F020
65,F021
66,F022
67,F023
68,F024
69,F026
70,F027
71,F028
72,F029
73,F030
74,F031
75,F032
62,F033
76,F044
77,F054
78,F055
79,F057
80,F506
81,F508
82,F519
83,F521
84,F523
85,F527
86,F533
87,F534
88,F535
89,F536
90,F537
91,F538
84,F539
92,F540
73,F542
93,F543
56,F544
94,F546
95,F547
68,F283
96,F301
65,F312
64,F313
97,F314
98,F315
58,F316
99,F318
100,F321
101,F322
85,F509
